ID	ID_incident	date_published	data_source	source_type	alert_type	product_categoty	product	origin_country	origin_country_EU	notified_country	notified_country_EU	hazard_description	hazard_group	summary	food_feed_fcm	date_published_year	date_published_month	date_published_year_month	date_published_quarter	date_published_year_quarter	contaminant	contaminant2	long.origin	lat.origin	long.notified	lat.notified
218200	218200	2020-05-20	Product Recalls Website: Oulah (France)	Others	recall	meat and meat products (other than poultry)	meat product	France	EU	France	EU	foreign bodies	foreign bodies	foreign bodies: minis-flavor chorizo trademark madrange.	food	2020	05	2020-05	Q2	2020-Q2	other foreign body	other foreign body	2.53618475	46.18700581	2.53618475	46.18700581
218140	218140	2020-05-15	RASFF Portal	Official	alert	cereals and bakery products	bakery product	Germany	EU	Denmark	EU	plastic fragments	foreign bodies	plastic fragments: dark baguettes	food	2020	05	2020-05	Q2	2020-Q2	plastic	plastic	10.38577693	51.10697903	10.02799418	55.98126391
218141	218141	2020-05-15	RASFF Portal	Official	alert	ices and desserts	ice cream	United Kingdom	EU	United Kingdom	EU	metal fragments	foreign bodies	metal fragments: ice cream	food	2020	05	2020-05	Q2	2020-Q2	metal	metal	-2.86563362	54.12387156	-2.86563362	54.12387156
218153	218153	2020-05-14	RASFF Portal	Official	information for follow-up	herbs and spices	thickening powder	France	EU	Italy	EU	foreign body	foreign bodies	foreign body: thickening powder	food	2020	05	2020-05	Q2	2020-Q2	other foreign body	other foreign body	2.53618475	46.18700581	12.07000946	42.79663568
218042	218042	2020-05-12	Food Poisoning Bulletin (US)	Others	recall	herbs and spices	basil	United States of America	non_EU	United States of America	non_EU	ounce plastic clamshell containers	foreign bodies	ounce plastic clamshell containers: wild harvest organic basil	food	2020	05	2020-05	Q2	2020-Q2	plastic	plastic	-112.46167057	45.67955203	-112.46167057	45.67955203
217967	217967	2020-05-08	Food Poisoning Bulletin (US)	Others	recall	cereals and bakery products	bakery product	United States of America	non_EU	United States of America	non_EU	the bag	foreign bodies	the bag: cobs microwave popcorn	food	2020	05	2020-05	Q2	2020-Q2	other foreign body	other foreign body	-112.46167057	45.67955203	-112.46167057	45.67955203
217977	217977	2020-05-08	RASFF Portal	Official	alert	fruits and vegetables	caper	Italy	EU	Sweden	EU	glass fragments	foreign bodies	glass fragments: glass jars containing capers	food	2020	05	2020-05	Q2	2020-Q2	glass	glass	12.07000946	42.79663568	16.74371219	62.79232016
217979	217979	2020-05-08	RASFF Portal	Official	alert	nuts; nut products and seeds	hazelnut	France	EU	Belgium	EU	foreign body	foreign bodies	foreign body: hazelnuts biscuits +12 months	food	2020	05	2020-05	Q2	2020-Q2	other foreign body	other foreign body	2.53618475	46.18700581	4.64064572	50.63981435
217955	217955	2020-05-07	RASFF Portal	Official	alert	meat and meat products (other than poultry)	meat product	Netherlands	EU	Germany	EU	foreign body	foreign bodies	foreign body: chilled turkish style garlic sausages	food	2020	05	2020-05	Q2	2020-Q2	other foreign body	other foreign body	5.2814735	52.10080804	10.38577693	51.10697903
217923	217923	2019-02-05	SVPS (Slovakia)	Official	recall	meat and meat products (other than poultry)	beef	Slovakia	EU	Slovakia	EU	administration body	foreign bodies	administration body: beef	food	2019	02	2019-02	Q1	2019-Q1	other foreign body	other foreign body	19.47905212	48.70547175	19.47905212	48.70547175
