ID	ID_incident	date_published	data_source	source_type	alert_type	raw_text_product	product_categoty	product	origin_country	origin_country_EU	notified_country	notified_country_EU	hazard_description	hazard_group	summary	food_feed_fcm	date_published_year	date_published_month	date_published_year_month	date_published_quarter	date_published_year_quarter	long.origin	lat.origin	long.notified	lat.notified	long.origin.rand	lat.origin.rand	long.notified.rand	lat.notified.rand	hazard_type	hazard_type_large
218195	218195	2020-05-20	AFSCA Recalls (Belgium)	Official	warning	Allergens not listed on the label are almonds and cashews.	nuts; nut products and seeds	almond	Belgium	EU	Belgium	EU	hazelnut brand winny	allergens	hazelnut brand winny: almonds	food	2020	05	2020-05	Q2	2020-Q2	4.64064572	50.63981435	4.64064572	50.63981435	6.185632124451784	50.20971011954726	4.178675682796424	50.869108188816284	hazelnut	nuts
218198	218198	2020-05-20	Product Recalls Website: Oulah (France)	Others	recall	Recall product : Terrine of guinea Fowl with green pepper brand cold cuts of Picoreur	fruits and vegetables	pepper	France	EU	France	EU	presence of the allergen wheat	allergens	presence of the allergen wheat: green pepper brand cold cuts	food	2020	05	2020-05	Q2	2020-Q2	2.53618475	46.18700581	2.53618475	46.18700581	5.772481502391145	49.47514348073298	6.806947384407369	48.67494418303443	wheat	gluten-related
218205	218205	2020-05-20	Food Safety Authority (Ireland)	Official	recall	Milk Not Labelled in English on Batches of Magnum White Chocolate Ice Cream tub	milk and milk products	white chocolate ice cream tub pack size end	United Kingdom	EU	Ireland	EU	food allergen  milk	allergens	food allergen  milk: magnum white chocolate ice cream tub; pack size: 440ml.batch codes: l9255at138 & l9255bt138best before end: 09 2021	food	2020	05	2020-05	Q2	2020-Q2	-2.86563362	54.12387156	-8.13793167	53.1754426	-4.943011903660052	57.585304413725225	-8.913101850011536	52.500607759757344	milk	milk-related
218206	218206	2020-05-20	FSA Alerts & Recalls (UK)	Official	recall	Unilever recalls Magnum White Chocolate ice cream tubs because of undeclared milk	milk and milk products	white chocolate ice cream tub	United Kingdom	EU	United Kingdom	EU	milk or milk constituents	allergens	milk or milk constituents: magnum white chocolate ice cream tub	food	2020	05	2020-05	Q2	2020-Q2	-2.86563362	54.12387156	-2.86563362	54.12387156	-6.592159857280661	58.04143944933911	-4.459913558326546	56.539811522635574	milk	milk-related
218183	218183	2020-05-19	Food Safety Authority (Ireland)	Official	recall	Undeclared Milk in Youngs Simply Breaded 2 Extra Large Fish Fillets	fish and fish products	young fish fillet pack size end	United Kingdom	EU	Ireland	EU	undeclared milk	allergens	undeclared milk: youngs simply breaded 2 extra large fish fillets (frozen); pack size: 300g.batch codes: ac l 0097; ab l 0114 & ab l 0116best before end: oct 2021	food	2020	05	2020-05	Q2	2020-Q2	-2.86563362	54.12387156	-8.13793167	53.1754426	1.4320287875150655	52.391874330657124	-8.487886428401254	52.73034757285255	milk	milk-related
218178	218178	2020-05-18	FSA Alerts & Recalls (UK)	Official	recall	Youngs Seafood recalls Simply Breaded Fish Fillets because of undeclared milk	fish and fish products	fish fillet	United Kingdom	EU	United Kingdom	EU	milk or milk constituents	allergens	milk or milk constituents: youngs simply breaded 2 extra large fish fillets	food	2020	05	2020-05	Q2	2020-Q2	-2.86563362	54.12387156	-2.86563362	54.12387156	-4.236847277006716	56.9421295269955	-3.260173874788848	51.119457201231036	milk	milk-related
218132	218132	2020-05-15	Food Poisoning Bulletin (US)	Others	recall	Wegmans Semi-Sweet Chocolate Nonpareils Recalled For Milk	cocoa and cocoa preparations; coffee and tea	chocolate nonpareil	United States of America	non_EU	United States of America	non_EU	milk	allergens	milk: wegmans semi-sweet chocolate nonpareils	food	2020	05	2020-05	Q2	2020-Q2	-112.46167057	45.67955203	-112.46167057	45.67955203	-132.1010823404703	56.239007783620536	-96.78667253949918	31.435136366881327	milk	milk-related
218138	218138	2020-05-15	FDA Recalls (USA)	Official	recall	Mellace Family Brands California Inc. (Johnvince Foods) Recalls Wegmans Semi-Sweet Chocolate nonpareils; 18.5oz (1lb 2.5oz) 524g Due to Undeclared Milk Allergen	cocoa and cocoa preparations; coffee and tea	chocolate nonpareil	United States of America	non_EU	United States of America	non_EU	undeclared milk	allergens	undeclared milk: semisweet chocolate nonpareils	food	2020	05	2020-05	Q2	2020-Q2	-112.46167057	45.67955203	-112.46167057	45.67955203	-95.96749045275575	32.14915668039082	-155.6270687128552	61.23913940268309	milk	milk-related
218139	218139	2020-05-15	RASFF Portal	Official	alert	Diarrhoeic Shellfish Poisoning (DSP) toxins - okadaic acid (267 Âµg/kg - ppb) in live mussels (Mytilus Galloprovincialis) from Italy	bivalve molluscs and products thereof	mussel	Italy	EU	Italy	EU	diarrhoeic shellfish poisoning toxins  okadaic acid	allergens	diarrhoeic shellfish poisoning toxins  okadaic acid: live mussels (mytilus galloprovincialis)	food	2020	05	2020-05	Q2	2020-Q2	12.07000946	42.79663568	12.07000946	42.79663568	9.220379954045452	45.13670692271312	10.469527940749758	46.077722090805445	seafood	seafood
218105	218105	2020-05-14	AFSCA Recalls (Belgium)	Official	warning	Problem : allergen not listed on the label : wheat (gluten) - labelling error.	cereals and bakery products	wheat	Belgium	EU	Belgium	EU	wheat  labelling error	allergens	wheat  labelling error: wheat gluten - labelling error	food	2020	05	2020-05	Q2	2020-Q2	4.64064572	50.63981435	4.64064572	50.63981435	4.519135220243802	50.384486428013865	4.92883132101556	51.42698354352132	wheat	gluten-related
