ID,ID_incident,date_published,data_source,data_source_name,data_source_country,source_type,alert_type,raw_text_product,product_categoty,product,origin_country,origin_country_EU,notified_country,notified_country_EU,hazard_description,hazard_group,summary,food_feed_fcm,date_published_year,date_published_month,date_published_year_month,date_published_quarter,date_published_year_quarter,date_published_fulltime,alert_type_large,long.origin,lat.origin,long.notified,lat.notified,long.origin.rand,lat.origin.rand,long.notified.rand,lat.notified.rand,contaminant,contaminant2
218208,218208,NA,AGES (Austria),AGES,Austria,Official,recall,Alnatura chickpeas; dried in 500g bags,fruits and vegetables,chickpea,Austria,EU,Austria,EU,foreign bodies,foreign bodies,foreign bodies: alnatura chickpeas,food,NA,NA,NA-NA,NA,NA-NA,NA 00:00:00 +00:00,recall,14.12647809,47.58549847,14.12647809,47.58549847,13.134931172450734,47.360210759198864,13.378167088666716,48.2186550630356,other foreign body,other foreign body
218200,218200,2020-05-20,Product Recalls Website: Oulah (France),Product Recalls Website: Oulah,France,Others,recall,Recall product : The minis-flavor chorizo trademark MADRANGE,meat and meat products (other than poultry),meat product,France,EU,France,EU,foreign bodies,foreign bodies,foreign bodies: minis-flavor chorizo trademark madrange.,food,2020,05,2020-05,Q2,2020-Q2,2020-05-20 00:00:00 +00:00,recall,2.53618475,46.18700581,2.53618475,46.18700581,-0.8118989243831547,49.32972228783109,3.9160220660480256,46.28169251807575,other foreign body,other foreign body
218203,218203,2020-05-20,BVL Recalls (Germany),BVL Recalls,Germany,Official,recall,Warning for the product alnatura chickpeas; dried for foreign bodies made of glass,NA,chickpea,Germany,EU,Germany,EU,foreign bodies,foreign bodies,foreign bodies: alnatura chickpeas; dried,food,2020,05,2020-05,Q2,2020-Q2,2020-05-20 00:00:00 +00:00,recall,10.38577693,51.10697903,10.38577693,51.10697903,12.42272923304739,49.19213351714035,10.280505632360262,50.21244342883327,glass,glass
218140,218140,2020-05-15,RASFF Portal,RASFF Portal,EU,Official,alert,plastic fragments in dark baguettes from Germany,cereals and bakery products,bakery product,Germany,EU,Denmark,EU,plastic fragments,foreign bodies,plastic fragments: dark baguettes,food,2020,05,2020-05,Q2,2020-Q2,2020-05-15 00:00:00 +00:00,alert,10.38577693,51.10697903,10.02799418,55.98126391,11.447215664659407,53.56778951268437,12.32024471844944,55.24806314725861,plastic,plastic
218141,218141,2020-05-15,RASFF Portal,RASFF Portal,EU,Official,alert,metal fragments in ice cream from the United Kingdom,ices and desserts,ice cream,United Kingdom,UK,United Kingdom,UK,metal fragments,foreign bodies,metal fragments: ice cream,food,2020,05,2020-05,Q2,2020-Q2,2020-05-15 00:00:00 +00:00,alert,-2.86563362,54.12387156,-2.86563362,54.12387156,-4.58676136237331,55.53282366155926,-3.128865821378811,58.57560584082466,metal,metal
218153,218153,2020-05-14,RASFF Portal,RASFF Portal,EU,Official,information for follow-up,foreign bodies (2 pieces of 1-1.5 cm) in thickening powder from France,herbs and spices,thickening powder,France,EU,Italy,EU,foreign body,foreign bodies,foreign body: thickening powder,food,2020,05,2020-05,Q2,2020-Q2,2020-05-14 00:00:00 +00:00,update,2.53618475,46.18700581,12.07000946,42.79663568,1.872975001946334,49.57135125162382,12.309888081078334,43.25182702904914,other foreign body,other foreign body
218042,218042,2020-05-12,Food Poisoning Bulletin (US),Food Poisoning Bulletin,USA,Others,recall,Wild Harvest Organic Basil Recalled For Cyclospora Contamination,herbs and spices,basil,United States of America,non_EU,United States of America,non_EU,ounce plastic clamshell containers,foreign bodies,ounce plastic clamshell containers: wild harvest organic basil,food,2020,05,2020-05,Q2,2020-Q2,2020-05-12 00:00:00 +00:00,recall,-112.46167057,45.67955203,-112.46167057,45.67955203,-101.12030950521313,40.37576973081335,-147.11820416855957,61.214318261033135,plastic,plastic
217967,217967,2020-05-08,Food Poisoning Bulletin (US),Food Poisoning Bulletin,USA,Others,recall,Fully Popped Poppin' Cobs Microwave Popcorn Recalled For Burn Hazard,cereals and bakery products,bakery product,United States of America,non_EU,United States of America,non_EU,the bag,foreign bodies,the bag: cobs microwave popcorn,food,2020,05,2020-05,Q2,2020-Q2,2020-05-08 00:00:00 +00:00,recall,-112.46167057,45.67955203,-112.46167057,45.67955203,-102.52744064301922,40.97361595759224,-89.68087569405299,45.62273933727512,other foreign body,other foreign body
217970,217970,2020-05-08,NVWA Recalls (Netherlands),NVWA Recalls,Netherlands,Official,recall,"
 Important security note Citymix we packed bag of 250 g; and allergens",NA,NA,Netherlands,EU,Netherlands,EU,bag,foreign bodies,bag:,food,2020,05,2020-05,Q2,2020-Q2,2020-05-08 00:00:00 +00:00,recall,5.2814735,52.10080804,5.2814735,52.10080804,5.864315508988465,51.997498969607165,4.249487022199819,51.92838613042545,other foreign body,other foreign body
217977,217977,2020-05-08,RASFF Portal,RASFF Portal,EU,Official,alert,glass fragments in glass jars containing capers from Italy,fruits and vegetables,caper,Italy,EU,Sweden,EU,glass fragments,foreign bodies,glass fragments: glass jars containing capers,food,2020,05,2020-05,Q2,2020-Q2,2020-05-08 00:00:00 +00:00,alert,12.07000946,42.79663568,16.74371219,62.79232016,10.460773214133908,43.716645320720566,16.39124986855509,66.25875303834327,glass,glass
217979,217979,2020-05-08,RASFF Portal,RASFF Portal,EU,Official,alert,foreign body (whole hazelnut and shell of 3 mm) in hazelnuts biscuits  +12 months from France; via the Netherlands,nuts; nut products and seeds,hazelnut,France,EU,Belgium,EU,foreign body,foreign bodies,foreign body: hazelnuts biscuits +12 months,food,2020,05,2020-05,Q2,2020-Q2,2020-05-08 00:00:00 +00:00,alert,2.53618475,46.18700581,4.64064572,50.63981435,3.1476502289880255,43.356378586215946,4.675895083748207,50.73088078677943,other foreign body,other foreign body
217955,217955,2020-05-07,RASFF Portal,RASFF Portal,EU,Official,alert,foreign body in chilled turkish style garlic sausages from the Netherlands,meat and meat products (other than poultry),meat product,Netherlands,EU,Germany,EU,foreign body,foreign bodies,foreign body: chilled turkish style garlic sausages,food,2020,05,2020-05,Q2,2020-Q2,2020-05-07 00:00:00 +00:00,alert,5.2814735,52.10080804,10.38577693,51.10697903,5.814771630479466,52.12233466774748,12.411710045475893,50.4591880695152,other foreign body,other foreign body
217923,217923,2019-02-05,SVPS (Slovakia),SVPS,Slovakia,Official,recall,Administration body dealing of the SLOVAK republic shall inform about the supply of beef from high-risk establishments from Po 3/4 ska,meat and meat products (other than poultry),beef,Slovakia,EU,Slovakia,EU,administration body,foreign bodies,administration body: beef,food,2019,02,2019-02,Q1,2019-Q1,2019-02-05 00:00:00 +00:00,recall,19.47905212,48.70547175,19.47905212,48.70547175,17.4648193945687,48.035570615755454,19.236322552076384,49.20119656792006,other foreign body,other foreign body
217834,217834,2020-04-29,RASFF Portal,RASFF Portal,EU,Official,alert,glass fragments in organic alfalfa seeds from the Netherlands,nuts; nut products and seeds,alfalfa,Netherlands,EU,Denmark,EU,glass fragments,foreign bodies,glass fragments: organic alfalfa seeds,food,2020,04,2020-04,Q2,2020-Q2,2020-04-29 00:00:00 +00:00,alert,5.2814735,52.10080804,10.02799418,55.98126391,6.753336641983786,52.013831540798805,10.58047730740136,55.25917967536665,glass,glass
217782,217782,2020-04-29,Food Poisoning Bulletin (US),Food Poisoning Bulletin,USA,Others,recall,Some Benefiber Prebiotic Supplements Recalled For Foreign Material,dietetic foods; food supplements; fortified foods,shape fiber supplement powder fiber supplement powder,United States of America,non_EU,United States of America,non_EU,green particle,foreign bodies,green particle: benefiber healthy shape prebiotic fiber supplement powder and benefiber prebiotic fiber supplement powder,food,2020,04,2020-04,Q2,2020-Q2,2020-04-29 00:00:00 +00:00,recall,-112.46167057,45.67955203,-112.46167057,45.67955203,-104.35351741152985,39.66952210780309,-82.65829125713248,27.41672026148904,other foreign body,other foreign body
217797,217797,2020-04-29,RASFF Portal,RASFF Portal,EU,Official,information for attention,plastic particles (7mm) in nut whole milk chocolate from France,milk and milk products,nut milk chocolate,France,EU,Germany,EU,plastic particles,foreign bodies,plastic particles: nut whole milk chocolate,food,2020,04,2020-04,Q2,2020-Q2,2020-04-29 00:00:00 +00:00,information for attention,2.53618475,46.18700581,10.38577693,51.10697903,5.23161367906199,48.007273267455524,6.207772651261418,51.584915941734494,plastic,plastic
217779,217779,2020-03-11,CDPH Recalls (Canada),CDPH Recalls,Canada,Official,recall,Notification - Thrifty Kitchens brand Ancient Whole Grains Salad recalled due to presence of stones,prepared dishes and snacks,grain salad,Canada,non_EU,Canada,non_EU,extraneous material,foreign bodies,extraneous material: ancient whole grains salad,food,2020,03,2020-03,Q1,2020-Q1,2020-03-11 00:00:00 +00:00,recall,-98.307757230000007,61.36206827,-98.307757230000007,61.36206827,-79.89753915992569,56.283897253532224,-57.857672297723056,52.58942784614532,stones or soil,other foreign body
217764,217764,2020-04-28,FDA Recalls (USA),FDA Recalls,USA,Official,recall,GSK Consumer Healthcare Recalls Benefiber Healthy Shape Prebiotic Fiber Supplement and Benefiber Prebiotic Fiber Supplement Due to Possible Plastic Contamination from the Bottle Cap,dietetic foods; food supplements; fortified foods,fiber supplement,United States of America,non_EU,United States of America,non_EU,plastic pieces,foreign bodies,plastic pieces: prebiotic fiber supplement,food,2020,04,2020-04,Q2,2020-Q2,2020-04-28 00:00:00 +00:00,recall,-112.46167057,45.67955203,-112.46167057,45.67955203,-78.73395012589128,34.68712740676671,-115.30444121037202,44.658074512624076,plastic,plastic
217775,217775,2020-04-28,Food Authority (Denmark),Food Authority,Denmark,Official,recall,Broken glass in the lucerne (alfalfa) seed,nuts; nut products and seeds,alfalfa,Denmark,EU,Denmark,EU,broken glass,foreign bodies,broken glass: lucerne alfalfa seed,food,2020,04,2020-04,Q2,2020-Q2,2020-04-28 00:00:00 +00:00,recall,10.02799418,55.98126391,10.02799418,55.98126391,9.06934614313561,56.17640267398641,9.014289774207565,56.136693737430335,glass,glass
217747,217747,2020-04-27,BVL Recalls (Germany),BVL Recalls,Germany,Official,recall,Warning for the product yes! whole hazelnut premium milk chocolate for foreign body (black plastic parts),nuts; nut products and seeds,hazelnut,Germany,EU,Germany,EU,foreign body,foreign bodies,foreign body: yes whole hazelnut premium milk chocolate,food,2020,04,2020-04,Q2,2020-Q2,2020-04-27 00:00:00 +00:00,recall,10.38577693,51.10697903,10.38577693,51.10697903,9.630383546714658,49.88475375846424,7.853104261046164,52.12215361389201,plastic,plastic
217687,217687,2020-04-22,Food Authority (Norway),Food Authority,Norway,Official,recall,Party with the TRS Chilli powder from the Noramix Import pulled from the market,herbs and spices,pepper,United Kingdom,UK,Norway,non_EU,bag,foreign bodies,bag: trs chilli powder,food,2020,04,2020-04,Q2,2020-Q2,2020-04-22 00:00:00 +00:00,recall,-2.86563362,54.12387156,15.34832968,68.75014407,-1.842065205253073,51.48439600001116,15.280584228965537,67.9168213726162,other foreign body,other foreign body
217575,217575,2020-04-17,BVL Recalls (Germany),BVL Recalls,Germany,Official,recall,Warning for the product pizza snails salame 270g for foreign body (white plastic),prepared dishes and snacks,bakery product,Germany,EU,Germany,EU,foreign body,foreign bodies,foreign body: pizza snails salame 270g,food,2020,04,2020-04,Q2,2020-Q2,2020-04-17 00:00:00 +00:00,recall,10.38577693,51.10697903,10.38577693,51.10697903,12.821152871963374,53.282469323830426,13.685906239280346,52.59384220614267,plastic,plastic
217592,217592,2020-04-17,RASFF Portal,RASFF Portal,EU,Official,alert,foreign body (plastic particles) in pizza rolls from Germany,prepared dishes and snacks,bakery product,Germany,EU,Germany,EU,foreign body,foreign bodies,foreign body: pizza rolls,food,2020,04,2020-04,Q2,2020-Q2,2020-04-17 00:00:00 +00:00,alert,10.38577693,51.10697903,10.38577693,51.10697903,8.015935771913037,49.53601058488561,11.452565617870853,53.15250882715027,plastic,plastic
217477,217477,2020-04-10,USDA  (US),USDA,USA,Official,recall,Conagra Brands; Inc. Recalls Frozen Not-Ready-to-Eat Chicken Bowl Products Due to Possible Foreign Matter Contamination,poultry meat and poultry meat products,chicken,United States of America,non_EU,United States of America,non_EU,due to possible foreign matter contamination,foreign bodies,due to possible foreign matter contamination: frozen not-ready-to-eat chicken bowl products,food,2020,04,2020-04,Q2,2020-Q2,2020-04-10 00:00:00 +00:00,recall,-112.46167057,45.67955203,-112.46167057,45.67955203,-103.49232162729265,31.210107392303723,-97.77466244494511,30.090441024393467,other foreign body,other foreign body
217482,217482,2020-04-09,RASFF Portal,RASFF Portal,EU,Official,information for follow-up,foreign body (round plastic particles) in cream spinach from Germany,fruits and vegetables,spinach,Germany,EU,Germany,EU,foreign body,foreign bodies,foreign body: cream spinach,food,2020,04,2020-04,Q2,2020-Q2,2020-04-09 00:00:00 +00:00,update,10.38577693,51.10697903,10.38577693,51.10697903,9.141124891886552,51.90368464807709,13.881470836173966,51.18076711892816,plastic,plastic
217458,217458,2020-04-09,Product Recalls Website: Oulah (France),Product Recalls Website: Oulah,France,Others,recall,Recall product : Waffle craft choco 200g brand Cottage Waffle,cereals and bakery products,waffle choco brand cottage waffle,France,EU,France,EU,foreign bodytype  pieces,foreign bodies,foreign bodytype  pieces: waffle craft choco brand cottage waffle.,food,2020,04,2020-04,Q2,2020-Q2,2020-04-09 00:00:00 +00:00,recall,2.53618475,46.18700581,2.53618475,46.18700581,2.4799494424009394,50.73496112437381,4.500707747082027,46.956635486083925,other foreign body,other foreign body
217459,217459,2020-04-09,BVL Recalls (Germany),BVL Recalls,Germany,Official,recall,Warning for the product neubauer's original brunswick herring salad for health risk due to foreign body,fish and fish products,herring,Germany,EU,Germany,EU,foreign body,foreign bodies,foreign body: neubauers original brunswick herring salad,food,2020,04,2020-04,Q2,2020-Q2,2020-04-09 00:00:00 +00:00,recall,10.38577693,51.10697903,10.38577693,51.10697903,9.924793015227092,53.24522441361336,8.352056589654097,52.807554606568786,other foreign body,other foreign body
217460,217460,2020-04-09,BVL Recalls (Germany),BVL Recalls,Germany,Official,recall,Warning for the product organic frozen cream spinach 400g for foreign body (plastic particles),fruits and vegetables,spinach,Germany,EU,Germany,EU,foreign body,foreign bodies,foreign body: organic frozen cream spinach 400g,food,2020,04,2020-04,Q2,2020-Q2,2020-04-09 00:00:00 +00:00,recall,10.38577693,51.10697903,10.38577693,51.10697903,13.097264785545475,52.297549509330864,8.596095810167009,51.608664895082136,plastic,plastic
217432,217432,2020-03-26,NVWA Recalls (Netherlands),NVWA Recalls,Netherlands,Official,recall,"
Important safety warnings miscellaneous kruidenstrooiers Verstegen",soups; broths; sauces and condiments,sauce,Chile,non_EU,Netherlands,EU,glass fragments,foreign bodies,glass fragments: sauces,food,2020,03,2020-03,Q1,2020-Q1,2020-03-26 00:00:00 +00:00,recall,-71.38255879,-37.73069754,5.2814735,52.10080804,-73.4398016301189,-52.23616508078183,5.412468778781058,51.66453390967828,glass,glass
217305,217305,2020-03-31,RASFF Portal,RASFF Portal,EU,Official,information for follow-up,metal wires (1.6 cm) in chocolate granola bar from Germany,cocoa and cocoa preparations; coffee and tea,chocolate granola bar,Germany,EU,Germany,EU,metal wires,foreign bodies,metal wires: chocolate granola bar,food,2020,03,2020-03,Q1,2020-Q1,2020-03-31 00:00:00 +00:00,update,10.38577693,51.10697903,10.38577693,51.10697903,8.425736785232475,51.64005519497583,9.638938773872656,51.10575160215596,metal,metal
217189,217189,2020-03-31,MAST (Iceland),MAST,Iceland,Official,recall,The diagnosis of infectious lifrardrepi in rabbits confirmed,meat and meat products (other than poultry),rabbit,Iceland,non_EU,Iceland,non_EU,the object,foreign bodies,the object: rabbits,food,2020,03,2020-03,Q1,2020-Q1,2020-03-31 00:00:00 +00:00,recall,-18.57397086,64.99575263,-18.57397086,64.99575263,-17.607425573733487,64.72205036134234,-17.991742540926623,64.04930599046052,other foreign body,other foreign body
217159,217159,2020-03-12,AGES (Austria),AGES,Austria,Official,recall,SAVING PREMIUM Ajvar 330g glass,soups; broths; sauces and condiments,premium ajvar glass,Austria,EU,Austria,EU,foreign body,foreign bodies,foreign body: saving premium ajvar glass.,food,2020,03,2020-03,Q1,2020-Q1,2020-03-12 00:00:00 +00:00,recall,14.12647809,47.58549847,14.12647809,47.58549847,12.666570149826399,47.38143254769324,15.990934162787049,47.49993863916217,glass,glass
217160,217160,2020-03-03,AGES (Austria),AGES,Austria,Official,recall,"Chef's menu side dishes ""Cabbage"" Wiener Art ""400g""",fruits and vegetables,meat product,Austria,EU,Austria,EU,glass particles,foreign bodies,"glass particles: cabbage vegetable ""wiener art",food,2020,03,2020-03,Q1,2020-Q1,2020-03-03 00:00:00 +00:00,recall,14.12647809,47.58549847,14.12647809,47.58549847,16.36962606294706,48.39148203744712,13.533087362672486,46.605437777450824,glass,glass
217225,217225,2020-02-26,Product Recalls Website: Oulah (France),Product Recalls Website: Oulah,France,Others,recall,Recall product : Yogurt with fruit brand AUCHAN,fruits and vegetables,fruit,France,EU,France,EU,foreign body,foreign bodies,foreign body: yogurt with fruit,food,2020,02,2020-02,Q1,2020-Q1,2020-02-26 00:00:00 +00:00,recall,2.53618475,46.18700581,2.53618475,46.18700581,2.3400632322279105,49.919907339237895,3.5954666448943886,50.12813375189268,other foreign body,other foreign body
217162,217162,2020-02-11,AGES (Austria),AGES,Austria,Official,recall,Milbona Gouda cheese; young; grated; at least 7 weeks aged; 250g,milk and milk products,cheese,Austria,EU,Austria,EU,a blue plastic foreign body,foreign bodies,a blue plastic foreign body: gouda cheese,food,2020,02,2020-02,Q1,2020-Q1,2020-02-11 00:00:00 +00:00,recall,14.12647809,47.58549847,14.12647809,47.58549847,15.035300803066065,46.93309989974694,14.298618923966828,47.012651268656924,plastic,plastic
