ID	ID_incident	date_published	data_source	source_type	alert_type	raw_text_product	product_categoty	product	origin_country	origin_country_EU	notified_country	notified_country_EU	hazard_description	hazard_group	summary	food_feed_fcm	date_published_year	date_published_month	date_published_year_month	date_published_quarter	date_published_year_quarter	long.origin	lat.origin	long.notified	lat.notified	long.origin.rand	lat.origin.rand	long.notified.rand	lat.notified.rand	contaminant	contaminant2
218200	218200	2020-05-20	Product Recalls Website: Oulah (France)	Others	recall	Recall product : The minis-flavor chorizo trademark MADRANGE	meat and meat products (other than poultry)	meat product	France	EU	France	EU	foreign bodies	foreign bodies	foreign bodies: minis-flavor chorizo trademark madrange.	food	2020	05	2020-05	Q2	2020-Q2	2.53618475	46.18700581	2.53618475	46.18700581	9.029894710718608	41.89640874979694	-0.6734956587106646	43.33454542848137	other foreign body	other foreign body
218140	218140	2020-05-15	RASFF Portal	Official	alert	plastic fragments in dark baguettes from Germany	cereals and bakery products	bakery product	Germany	EU	Denmark	EU	plastic fragments	foreign bodies	plastic fragments: dark baguettes	food	2020	05	2020-05	Q2	2020-Q2	10.38577693	51.10697903	10.02799418	55.98126391	9.531242503739502	50.91198293355404	9.187870914166911	55.98839711487834	plastic	plastic
218141	218141	2020-05-15	RASFF Portal	Official	alert	metal fragments in ice cream from the United Kingdom	ices and desserts	ice cream	United Kingdom	EU	United Kingdom	EU	metal fragments	foreign bodies	metal fragments: ice cream	food	2020	05	2020-05	Q2	2020-Q2	-2.86563362	54.12387156	-2.86563362	54.12387156	-3.9187055576655783	52.268958854639244	-2.0617166925944845	55.74423599145533	metal	metal
218153	218153	2020-05-14	RASFF Portal	Official	information for follow-up	foreign bodies (2 pieces of 1-1.5 cm) in thickening powder from France	herbs and spices	thickening powder	France	EU	Italy	EU	foreign body	foreign bodies	foreign body: thickening powder	food	2020	05	2020-05	Q2	2020-Q2	2.53618475	46.18700581	12.07000946	42.79663568	7.120205575844624	47.785813926274	11.87706183054586	45.090207334694725	other foreign body	other foreign body
218042	218042	2020-05-12	Food Poisoning Bulletin (US)	Others	recall	Wild Harvest Organic Basil Recalled For Cyclospora Contamination	herbs and spices	basil	United States of America	non_EU	United States of America	non_EU	ounce plastic clamshell containers	foreign bodies	ounce plastic clamshell containers: wild harvest organic basil	food	2020	05	2020-05	Q2	2020-Q2	-112.46167057	45.67955203	-112.46167057	45.67955203	-150.11923393661377	64.86553457179994	-158.83032642367232	66.31085658522599	plastic	plastic
217967	217967	2020-05-08	Food Poisoning Bulletin (US)	Others	recall	Fully Popped Poppin' Cobs Microwave Popcorn Recalled For Burn Hazard	cereals and bakery products	bakery product	United States of America	non_EU	United States of America	non_EU	the bag	foreign bodies	the bag: cobs microwave popcorn	food	2020	05	2020-05	Q2	2020-Q2	-112.46167057	45.67955203	-112.46167057	45.67955203	-84.20939637502867	38.20942549400143	-110.9546087556354	34.1090493559216	other foreign body	other foreign body
217977	217977	2020-05-08	RASFF Portal	Official	alert	glass fragments in glass jars containing capers from Italy	fruits and vegetables	caper	Italy	EU	Sweden	EU	glass fragments	foreign bodies	glass fragments: glass jars containing capers	food	2020	05	2020-05	Q2	2020-Q2	12.07000946	42.79663568	16.74371219	62.79232016	8.751196817044962	39.878274321002216	21.076545116475444	65.06935263894825	glass	glass
217979	217979	2020-05-08	RASFF Portal	Official	alert	foreign body (whole hazelnut and shell of 3 mm) in hazelnuts biscuits  +12 months from France; via the Netherlands	nuts; nut products and seeds	hazelnut	France	EU	Belgium	EU	foreign body	foreign bodies	foreign body: hazelnuts biscuits +12 months	food	2020	05	2020-05	Q2	2020-Q2	2.53618475	46.18700581	4.64064572	50.63981435	6.250634294736802	43.101890572751024	3.735051163313119	50.597654313993715	other foreign body	other foreign body
217955	217955	2020-05-07	RASFF Portal	Official	alert	foreign body in chilled turkish style garlic sausages from the Netherlands	meat and meat products (other than poultry)	meat product	Netherlands	EU	Germany	EU	foreign body	foreign bodies	foreign body: chilled turkish style garlic sausages	food	2020	05	2020-05	Q2	2020-Q2	5.2814735	52.10080804	10.38577693	51.10697903	4.9791779349268985	51.504181796136685	9.768865007056977	54.14598236402377	other foreign body	other foreign body
217923	217923	2019-02-05	SVPS (Slovakia)	Official	recall	Administration body dealing of the SLOVAK republic shall inform about the supply of beef from high-risk establishments from Po 3/4 ska	meat and meat products (other than poultry)	beef	Slovakia	EU	Slovakia	EU	administration body	foreign bodies	administration body: beef	food	2019	02	2019-02	Q1	2019-Q1	19.47905212	48.70547175	19.47905212	48.70547175	18.588325308612333	48.01671262749275	21.9728647132646	49.27563046733156	other foreign body	other foreign body
217834	217834	2020-04-29	RASFF Portal	Official	alert	glass fragments in organic alfalfa seeds from the Netherlands	nuts; nut products and seeds	alfalfa	Netherlands	EU	Denmark	EU	glass fragments	foreign bodies	glass fragments: organic alfalfa seeds	food	2020	04	2020-04	Q2	2020-Q2	5.2814735	52.10080804	10.02799418	55.98126391	6.846121268510551	52.197932595633056	10.605102901296487	55.480449540604496	glass	glass
217782	217782	2020-04-29	Food Poisoning Bulletin (US)	Others	recall	Some Benefiber Prebiotic Supplements Recalled For Foreign Material	dietetic foods; food supplements; fortified foods	shape fiber supplement powder fiber supplement powder	United States of America	non_EU	United States of America	non_EU	green particle	foreign bodies	green particle: benefiber healthy shape prebiotic fiber supplement powder and benefiber prebiotic fiber supplement powder	food	2020	04	2020-04	Q2	2020-Q2	-112.46167057	45.67955203	-112.46167057	45.67955203	-121.5755974820286	48.29550524202165	-156.78009742235048	58.6957745149508	other foreign body	other foreign body
217797	217797	2020-04-29	RASFF Portal	Official	information for attention	plastic particles (7mm) in nut whole milk chocolate from France	milk and milk products	nut milk chocolate	France	EU	Germany	EU	plastic particles	foreign bodies	plastic particles: nut whole milk chocolate	food	2020	04	2020-04	Q2	2020-Q2	2.53618475	46.18700581	10.38577693	51.10697903	-0.4948644295337816	47.64069059482064	9.55458880514422	49.84128047654575	plastic	plastic
217779	217779	2020-03-11	CDPH Recalls (Canada)	Official	recall	Notification - Thrifty Kitchens brand Ancient Whole Grains Salad recalled due to presence of stones	prepared dishes and snacks	grain salad	Canada	non_EU	Canada	non_EU	extraneous material	foreign bodies	extraneous material: ancient whole grains salad	food	2020	03	2020-03	Q1	2020-Q1	-98.307757230000007	61.36206827	-98.307757230000007	61.36206827	-82.88390470960287	51.633294306384585	-119.53042140497364	58.14347679799141	stones or soil	other foreign body
217764	217764	2020-04-28	FDA Recalls (USA)	Official	recall	GSK Consumer Healthcare Recalls Benefiber Healthy Shape Prebiotic Fiber Supplement and Benefiber Prebiotic Fiber Supplement Due to Possible Plastic Contamination from the Bottle Cap	dietetic foods; food supplements; fortified foods	fiber supplement	United States of America	non_EU	United States of America	non_EU	plastic pieces	foreign bodies	plastic pieces: prebiotic fiber supplement	food	2020	04	2020-04	Q2	2020-Q2	-112.46167057	45.67955203	-112.46167057	45.67955203	-112.31753281675533	36.21899460050248	-116.80441967297592	42.24574872419011	plastic	plastic
