Country,Indicator,Measure Names,Year,Measure Values
Afghanistan,Voice and Accountability,Standard Error,2018,0.134821653
Afghanistan,Voice and Accountability,Percentile Rank,2018,20.6896553
Afghanistan,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.994719744
Afghanistan,Voice and Accountability,Number of Sources,2018,10
Albania,Voice and Accountability,Standard Error,2018,0.128045797
Albania,Voice and Accountability,Percentile Rank,2018,53.20196915
Albania,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.206369534
Albania,Voice and Accountability,Number of Sources,2018,12
Algeria,Voice and Accountability,Standard Error,2018,0.131521985
Algeria,Voice and Accountability,Percentile Rank,2018,21.67487717
Algeria,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.980983794
Algeria,Voice and Accountability,Number of Sources,2018,12
American Samoa,Voice and Accountability,Standard Error,2018,
American Samoa,Voice and Accountability,Percentile Rank,2018,
American Samoa,Voice and Accountability,Governance (-2.5 to +2.5),2018,
American Samoa,Voice and Accountability,Number of Sources,2018,
Andorra,Voice and Accountability,Standard Error,2018,0.267389596
Andorra,Voice and Accountability,Percentile Rank,2018,83.25122833
Andorra,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.06958878
Andorra,Voice and Accountability,Number of Sources,2018,2
Angola,Voice and Accountability,Standard Error,2018,0.131150827
Angola,Voice and Accountability,Percentile Rank,2018,22.66009903
Angola,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.919593632
Angola,Voice and Accountability,Number of Sources,2018,11
Anguilla,Voice and Accountability,Standard Error,2018,
Anguilla,Voice and Accountability,Percentile Rank,2018,
Anguilla,Voice and Accountability,Governance (-2.5 to +2.5),2018,
Anguilla,Voice and Accountability,Number of Sources,2018,
Antigua and Barbuda,Voice and Accountability,Standard Error,2018,0.241005853
Antigua and Barbuda,Voice and Accountability,Percentile Rank,2018,69.45812988
Antigua and Barbuda,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.618535042
Antigua and Barbuda,Voice and Accountability,Number of Sources,2018,3
Argentina,Voice and Accountability,Standard Error,2018,0.128094137
Argentina,Voice and Accountability,Percentile Rank,2018,66.99507141
Argentina,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.565301538
Argentina,Voice and Accountability,Number of Sources,2018,15
Armenia,Voice and Accountability,Standard Error,2018,0.134538263
Armenia,Voice and Accountability,Percentile Rank,2018,40.39408875
Armenia,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.113458268
Armenia,Voice and Accountability,Number of Sources,2018,11
Aruba,Voice and Accountability,Standard Error,2018,0.249347165
Aruba,Voice and Accountability,Percentile Rank,2018,91.62561798
Aruba,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.305925131
Aruba,Voice and Accountability,Number of Sources,2018,1
Australia,Voice and Accountability,Standard Error,2018,0.145530492
Australia,Voice and Accountability,Percentile Rank,2018,95.56650543
Australia,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.42814815
Australia,Voice and Accountability,Number of Sources,2018,10
Austria,Voice and Accountability,Standard Error,2018,0.145530492
Austria,Voice and Accountability,Percentile Rank,2018,93.10344696
Austria,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.380671859
Austria,Voice and Accountability,Number of Sources,2018,10
Azerbaijan,Voice and Accountability,Standard Error,2018,0.133124515
Azerbaijan,Voice and Accountability,Percentile Rank,2018,7.881773472
Azerbaijan,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.497994304
Azerbaijan,Voice and Accountability,Number of Sources,2018,12
"Bahamas, The",Voice and Accountability,Standard Error,2018,0.165850058
"Bahamas, The",Voice and Accountability,Percentile Rank,2018,73.39901733
"Bahamas, The",Voice and Accountability,Governance (-2.5 to +2.5),2018,0.795634627
"Bahamas, The",Voice and Accountability,Number of Sources,2018,4
Bahrain,Voice and Accountability,Standard Error,2018,0.147244945
Bahrain,Voice and Accountability,Percentile Rank,2018,10.83743858
Bahrain,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.405906916
Bahrain,Voice and Accountability,Number of Sources,2018,6
Bangladesh,Voice and Accountability,Standard Error,2018,0.129810378
Bangladesh,Voice and Accountability,Percentile Rank,2018,27.58620644
Bangladesh,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.728413701
Bangladesh,Voice and Accountability,Number of Sources,2018,12
Barbados,Voice and Accountability,Standard Error,2018,0.164230824
Barbados,Voice and Accountability,Percentile Rank,2018,84.2364502
Barbados,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.124589801
Barbados,Voice and Accountability,Number of Sources,2018,4
Belarus,Voice and Accountability,Standard Error,2018,0.129537076
Belarus,Voice and Accountability,Percentile Rank,2018,11.82266045
Belarus,Voice and Accountability,Governance (-2.5 to +2.5),2018,-1.350768924
Belarus,Voice and Accountability,Number of Sources,2018,10
Belgium,Voice and Accountability,Standard Error,2018,0.145530492
Belgium,Voice and Accountability,Percentile Rank,2018,94.08866882
Belgium,Voice and Accountability,Governance (-2.5 to +2.5),2018,1.397253394
Belgium,Voice and Accountability,Number of Sources,2018,10
Belize,Voice and Accountability,Standard Error,2018,0.166671336
Belize,Voice and Accountability,Percentile Rank,2018,61.08374405
Belize,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.450753361
Belize,Voice and Accountability,Number of Sources,2018,5
Benin,Voice and Accountability,Standard Error,2018,0.134883806
Benin,Voice and Accountability,Percentile Rank,2018,57.63546753
Benin,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.267412454
Benin,Voice and Accountability,Number of Sources,2018,13
Bermuda,Voice and Accountability,Standard Error,2018,
Bermuda,Voice and Accountability,Percentile Rank,2018,
Bermuda,Voice and Accountability,Governance (-2.5 to +2.5),2018,
Bermuda,Voice and Accountability,Number of Sources,2018,
Bhutan,Voice and Accountability,Standard Error,2018,0.151014358
Bhutan,Voice and Accountability,Percentile Rank,2018,49.75369644
Bhutan,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.060540687
Bhutan,Voice and Accountability,Number of Sources,2018,5
Bolivia,Voice and Accountability,Standard Error,2018,0.128441617
Bolivia,Voice and Accountability,Percentile Rank,2018,44.3349762
Bolivia,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.042587254
Bolivia,Voice and Accountability,Number of Sources,2018,13
Bosnia and Herzegovina,Voice and Accountability,Standard Error,2018,0.131263509
Bosnia and Herzegovina,Voice and Accountability,Percentile Rank,2018,37.43842316
Bosnia and Herzegovina,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.243590653
Bosnia and Herzegovina,Voice and Accountability,Number of Sources,2018,12
Botswana,Voice and Accountability,Standard Error,2018,0.127197713
Botswana,Voice and Accountability,Percentile Rank,2018,62.56157684
Botswana,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.474740237
Botswana,Voice and Accountability,Number of Sources,2018,14
Brazil,Voice and Accountability,Standard Error,2018,0.128094137
Brazil,Voice and Accountability,Percentile Rank,2018,60.59113312
Brazil,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.38856861
Brazil,Voice and Accountability,Number of Sources,2018,15
Brunei Darussalam,Voice and Accountability,Standard Error,2018,0.165662155
Brunei Darussalam,Voice and Accountability,Percentile Rank,2018,24.63054276
Brunei Darussalam,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.843259215
Brunei Darussalam,Voice and Accountability,Number of Sources,2018,6
Bulgaria,Voice and Accountability,Standard Error,2018,0.127927631
Bulgaria,Voice and Accountability,Percentile Rank,2018,59.11330032
Bulgaria,Voice and Accountability,Governance (-2.5 to +2.5),2018,0.323382109
Bulgaria,Voice and Accountability,Number of Sources,2018,13
Burkina Faso,Voice and Accountability,Standard Error,2018,0.124432445
Burkina Faso,Voice and Accountability,Percentile Rank,2018,43.84236527
Burkina Faso,Voice and Accountability,Governance (-2.5 to +2.5),2018,-0.043225072
Burkina Faso,Voice and Accountability,Number of Sources,2018,14
